Type,Month,Year,Area,Sales,Dollar Volume,Average Price,Median Price,New Listings,SNLR Trend,Active Listings,Mos Inv (Trend),Avg. SP/LP,Avg. LDOM,Avg. PDOM
All Home Types,2,2025,Stouffville,26,"$34,286,990 ","$1,318,730 ","$1,176,500 ",95,39.40%,188,4.2,100%,22,33
All Home Types,2,2025,Durham Region,555,"$498,256,502 ","$897,759 ","$850,000 ","1,229",45.70%,"1,580",2.5,101%,22,34
All Home Types,2,2025,Ajax,71,"$69,316,288 ","$976,286 ","$945,000 ",155,47.80%,191,2.2,102%,20,36
All Home Types,2,2025,Brock,8,"$6,302,888 ","$787,861 ","$720,000 ",19,37.60%,39,5.2,95%,45,50
All Home Types,2,2025,Clarington,96,"$86,385,136 ","$899,845 ","$845,000 ",217,47.90%,247,2.2,102%,19,33
All Home Types,2,2025,Oshawa,167,"$128,579,652 ","$769,938 ","$753,000 ",336,45.20%,438,2.4,102%,24,37
All Home Types,2,2025,Pickering,86,"$81,082,100 ","$942,815 ","$892,500 ",224,42.80%,272,2.8,101%,23,33
All Home Types,2,2025,Scugog,13,"$12,487,000 ","$960,538 ","$821,000 ",36,45.00%,62,3.2,96%,31,52
All Home Types,2,2025,Uxbridge,11,"$12,356,500 ","$1,123,318 ","$1,144,000 ",35,41.60%,72,4.1,99%,21,21
All Home Types,2,2025,Whitby,103,"$101,746,938 ","$987,834 ","$925,000 ",207,47.40%,259,2.2,101%,19,29
All Home Types,2,2025,Dufferin County,18,"$14,764,999 ","$820,278 ","$836,500 ",44,44.60%,92,3.2,99%,23,37
All Home Types,2,2025,Orangeville,18,"$14,764,999 ","$820,278 ","$836,500 ",44,44.60%,92,3.2,99%,23,37
All Home Types,2,2025,Simcoe County,141,"$128,302,052 ","$909,944 ","$860,000 ",397,34.90%,738,4.8,98%,33,51
All Home Types,2,2025,Adjala-Tosorontio,6,"$9,030,000 ","$1,505,000 ","$1,547,500 ",26,28.90%,69,6.9,95%,66,107
All Home Types,2,2025,Bradford,29,"$29,757,176 ","$1,026,110 ","$980,000 ",79,38.00%,115,3.7,99%,27,41
All Home Types,2,2025,Essa,15,"$11,249,900 ","$749,993 ","$750,000 ",37,37.30%,76,4.3,98%,45,50
All Home Types,2,2025,Innisfil,47,"$39,178,800 ","$833,591 ","$849,900 ",157,29.50%,309,5.9,98%,31,53
All Home Types,2,2025,New Tecumseth,44,"$39,086,176 ","$888,322 ","$857,500 ",98,42.30%,169,3.9,100%,30,48
All Home Types,2,2025,All TRREB Areas,"4,037","$4,378,315,545 ","$1,084,547 ","$923,000 ","12,066",38.40%,"19,536",3.8,99%,28,43
All Home Types,2,2025,City of Toronto,"1,540","$1,674,098,816 ","$1,087,077 ","$842,500 ","4,641",37.10%,"7,809",4.1,100%,30,45
All Home Types,2,2025,Toronto West,406,"$406,620,177 ","$1,001,528 ","$843,950 ","1,113",40.70%,"1,803",3.6,101%,33,48
All Home Types,2,2025,Toronto W01,31,"$34,287,777 ","$1,106,057 ","$760,000 ",82,40.20%,120,3.4,103%,31,45
All Home Types,2,2025,Toronto W02,55,"$66,867,850 ","$1,215,779 ","$1,140,000 ",110,49.00%,137,2.3,106%,15,18
All Home Types,2,2025,Toronto W03,31,"$32,630,500 ","$1,052,597 ","$1,040,000 ",75,45.00%,108,2.9,104%,28,35
All Home Types,2,2025,Toronto W04,46,"$39,076,697 ","$849,493 ","$831,250 ",116,38.00%,204,4.2,98%,35,57
All Home Types,2,2025,Toronto W05,55,"$42,994,750 ","$781,723 ","$783,000 ",138,40.10%,255,4.2,99%,52,72
All Home Types,2,2025,Toronto W06,53,"$48,467,911 ","$914,489 ","$790,000 ",188,35.60%,322,4.4,100%,34,61
All Home Types,2,2025,Toronto W07,14,"$23,406,000 ","$1,671,857 ","$1,675,000 ",44,37.50%,75,3.8,99%,14,25
All Home Types,2,2025,Toronto W08,70,"$80,182,390 ","$1,145,463 ","$672,500 ",239,40.90%,377,3.5,97%,33,45
All Home Types,2,2025,Toronto W09,18,"$15,233,002 ","$846,278 ","$860,001 ",43,48.50%,76,2.9,103%,44,61
All Home Types,2,2025,Toronto W10,33,"$23,473,300 ","$711,312 ","$619,000 ",78,40.10%,129,3.5,98%,35,50
All Home Types,2,2025,Toronto Central,775,"$895,489,078 ","$1,155,470 ","$760,000 ","2,574",32.60%,"4,668",5.2,98%,32,49
All Home Types,2,2025,Toronto C01,198,"$178,339,429 ","$900,704 ","$710,709 ",736,30.00%,"1,433",5.9,98%,33,53
All Home Types,2,2025,Toronto C02,62,"$105,662,382 ","$1,704,232 ","$1,299,000 ",152,33.00%,263,5.3,100%,34,54
All Home Types,2,2025,Toronto C03,45,"$59,950,361 ","$1,332,230 ","$1,150,000 ",90,41.80%,131,3.5,104%,14,28
All Home Types,2,2025,Toronto C04,25,"$36,027,738 ","$1,441,110 ","$1,480,000 ",115,40.80%,186,3.6,98%,33,37
All Home Types,2,2025,Toronto C06,26,"$22,238,387 ","$855,323 ","$606,000 ",64,34.80%,90,4.6,98%,42,62
All Home Types,2,2025,Toronto C07,42,"$44,524,000 ","$1,060,095 ","$796,450 ",156,35.70%,285,4.6,100%,27,36
All Home Types,2,2025,Toronto C08,122,"$89,167,638 ","$730,882 ","$621,000 ",461,26.40%,854,6.7,97%,36,57
All Home Types,2,2025,Toronto C09,13,"$32,904,000 ","$2,531,077 ","$1,471,000 ",31,43.70%,70,3.5,99%,28,41
All Home Types,2,2025,Toronto C10,38,"$36,123,737 ","$950,625 ","$686,400 ",112,37.10%,185,4,102%,24,38
All Home Types,2,2025,Toronto C11,26,"$27,351,500 ","$1,051,981 ","$617,500 ",61,40.80%,100,3.5,98%,24,46
